,Source,ID,Class,Text
0,lucene,1,1,That would make ant a requirement for solr user
1,lucene,2,2,at org.tmatesoft.svn.core.wc.SVNUpdateClient.update(SVNUpdateClient.java:449)
2,lucene,3,1,On un-optimized inde
3,lucene,4,1,When calling the search URL with no query or an empty query (i.e.  http://localhost:8080/solr/select/ or http://localhost:8080/solr/select/?q=
4,lucene,5,2,val = null;
5,lucene,6,2,private void refineFacets(ResponseBuilder r
6,lucene,7,1,I was thinking of Tomcat at first since some people will start with
7,lucene,8,1,cross-referenced with the java.util.concurrent package. Just amazing.
8,lucene,9,2,Key: SOLR-1120
9,lucene,10,2,<directoryProvider class=\class.name\>
10,lucene,11,2,at org.apache.solr.servlet.SolrUpdateServlet.doPost(SolrUpdateServlet.java:58)
11,lucene,12,2,URL: https://issues.apache.org/jira/browse/SOLR-136
12,lucene,13,1,Otis Gospodnetic commented on SOLR-215:
13,lucene,14,2,List<String> categories
14,lucene,15,2,-rsyncStart=`date`
15,lucene,16,1,Per-segment single-valued string faceting using the Lucene FieldCache.
16,lucene,17,1,I need your comments on this although it might be hard without TestUnit.
17,lucene,18,1,Here is a patch to avoid the exception and use the default sort order if you only specify a field.  I'm not sure the 'null' case was even possible in the current code:
18,lucene,19,2,[junit] Running org.apache.solr.client.solrj.embedded.SolrExampleEmbeddedTest
19,lucene,20,1,@Hoss
20,lucene,21,1,convert them to document
21,lucene,123,1,applied with:  /usr/local/bin/patch -u -p 0 < ~/solr-350_409.patch
22,lucene,145,2,A import org.apache.solr.common.params.MapSolrParams;
23,lucene,147,2,DirectUpdateHandler2 threading issue
24,lucene,25,2,yoavs@computer.org / www.yoavshapira.com
25,lucene,26,1,$svn/java/trunk/core (i'm pretty sure existing checkouts will
26,lucene,27,1,I've had the idea of a \quiet\ commit in the back of my mind for a
27,lucene,28,2,solr.war
28,lucene,29,1,check
29,lucene,30,2,https://issues.apache.org/jira/browse/SOLR-139
30,lucene,31,2,svn co https://svn.apache.org/repos/asf/lucene/java/trunk@724059 lucene-r724059
31,lucene,32,1,What should be done?
32,lucene,33,1,your instincts were appropraite -- blindly adding to svn:ignore is an easy
33,lucene,34,2,public void ensureCapacityWords(int numWords) {
34,lucene,35,1,After thinking over your comment
35,lucene,36,1,// 1/4 second seems fast enough for anyone using maxDocs
36,lucene,158,1,+1
37,lucene,38,2,[ https://issues.apache.org/jira/browse/SOLR-773?page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel&focusedCommentId=12759415#action_12759415 ]
38,lucene,218,1,tier
39,lucene,40,2,983__solr\\webapp\\WEB-INF\\lib\\xpp3-1.1.3.4.O.jar
40,lucene,41,1,SolrConfig inherits from Config which has been modified; Config is now more strictly a dom document (filled from some resource) and methods to evaluate xpath expressions. Config also continues to be the classloader singleton that allows to easily instantiate classes located in the Solr installation directory.
41,lucene,42,1,file per instance
42,lucene,43,1,Upgrade bundled Jetty with latest from vendor
43,lucene,44,2,mkdir /tmp/apache-solr-nightly/contrib/javascript/dist/doc
44,lucene,45,2,at java.net.PlainSocketImpl.bind(PlainSocketImpl.java:359)
